16,1980,4.31,43,42,8,714
5,2014,4.29,38,63,4.9,221
6,2014,4.28,16,25,4.5,109
5,2008,4.27,89,95,6.5,2423
9,2001,4.24,79,10,7.3,6
6,2009,4.23,91,70,8.9,1122
7,2004,4.23,91,68,9.3,955
6,2011,4.22,80,39,7.5,613
18,2015,4.22,88,39,6.2,1749
5,2013,4.22,84,41,4.2,435
17,2006,4.21,85,59,8.7,109
15,1995,4.21,48,8,4,502
7,2005,4.21,80,32,7.8,47
7,2003,4.2,80,32,7.5,22
6,2007,4.19,80,67,7.1,120
5,2011,4.19,80,77,7.2,564
5,2011,4.18,37,8,1,747
2,1989,4.17,27,100,1,10169
6,2009,4.16,94,61,7.3,330
2,1984,4.16,22,77,8,6135
13,1997,4.16,60,111,0,2919
7,2002,4.14,95,25,7.7,65
15,1997,4.12,96,24,9.1,3161
8,1995,4.12,79,5,7,6103
7,2006,4.11,97,97,5,82
8,1992,4.1,84,78,6,5194
15,2007,4.09,91,46,7.9,785
10,2016,4.08,88,31,8.4,809
7,2007,4.07,93,70,8.9,709
7,2005,4.06,13,37,8.2,23
5,2010,4.05,84,81,8.1,769
5,2007,4.05,90,66,8.3,381
1,2007,4.05,56,27,6,44
10,2014,4.05,80,80,6.3,2996
13,1996,4.05,42,34,5,7938
7,2000,4.05,85,25,8.5,117
10,2014,4.04,85,83,7.7,1653
12,1997,4.03,63,89,0,2720
2,1984,4.01,48,69,8,6349
7,2005,3.98,61,21,0,5706
5,2009,3.97,89,76,8.6,681
10,2015,3.97,92,79,9.2,10179
10,2014,3.96,70,40,4.9,2050
10,2015,3.95,87,89,7.6,2679
1,2011,3.95,93,81,8,1958
6,2008,3.94,90,57,8,910
4,2007,3.94,84,65,8.8,72
3,1994,3.91,86,81,5,10034
1,2009,3.9,81,27,8.7,39
7,2003,3.9,90,38,8.7,121
11,2014,3.89,86,80,8.7,348
15,2011,3.88,94,32,8.1,9073
10,2015,3.88,87,51,6.7,364
7,2005,3.87,88,62,8.6,229
2,1988,3.87,35,113,6,4197
6,2006,3.87,84,9,7.4,220
11,2011,3.85,27,101,6,10231
7,2004,3.85,91,26,9.1,38
6,2010,3.84,76,64,7.9,104
13,1995,3.84,37,16,6,3290
3,1992,3.83,79,112,5,10453
10,2013,3.83,78,49,3.7,1564
4,2007,3.83,59,22,4,4
10,2016,3.8,80,64,7,2219
1,2007,3.79,68,33,6.9,39
13,1996,3.77,82,102,4,4455
4,2009,3.77,92,18,0,7957
5,2008,3.76,77,60,7.5,66
15,2002,3.76,79,21,8,29
17,2007,3.74,15,15,8,9113
13,2001,3.73,64,11,7.5,41
1,2011,3.72,55,94,3,2987
13,1999,3.72,19,45,3,3601
1,2007,3.71,85,56,7.9,417
13,2000,3.71,91,15,8.8,207
6,2013,3.71,88,36,8.1,840
7,2004,3.7,81,27,7.6,56
3,1998,3.7,81,104,5,602
4,2009,3.67,15,8,1,1558
7,2002,3.67,94,27,8.5,128
18,2015,3.66,94,43,7,1223
4,2007,3.66,67,15,7.3,13
17,2005,3.65,74,34,8.4,31
12,1998,3.65,92,87,4,9944
7,2002,3.65,82,42,7.9,82
7,2001,3.64,90,35,8.7,312
12,1999,3.63,27,99,1,5133
7,2007,3.63,82,10,7.9,38
7,2005,3.62,96,38,8.9,1013
1,2008,3.62,86,18,7.6,71
6,2009,3.62,91,56,7.6,203
7,2004,3.61,82,36,8.7,142
15,1994,3.61,83,59,9,4465
7,2001,3.61,64,23,7.7,32
20,2001,3.6,78,34,8.5,161
10,2013,3.59,85,18,6.9,1580
7,2005,3.59,84,30,9,268
1,2013,3.59,86,100,6.2,10
4,2007,3.58,70,39,8,9
13,2000,3.58,78,69,2,10149
13,1997,3.56,21,28,6,8591
7,2006,3.54,78,49,7.8,112
7,2002,3.54,72,49,6.8,88
13,1997,3.54,19,70,3,3170
7,2001,3.53,72,27,7.9,48
7,2005,3.53,48,30,6,9736
13,2000,3.52,30,70,7,4415
5,2010,3.52,88,66,7.5,155
13,1999,3.52,81,41,5,7310
5,2008,3.51,89,67,7.9,1309
8,1996,3.51,73,3,3,1804
18,2014,3.5,72,59,4.1,1005
2,1985,3.5,89,47,2,1231
5,2009,3.5,83,91,7.5,523
5,2010,3.49,89,81,8.3,693
7,2003,3.49,84,20,6.4,76
6,2013,3.49,80,14,5.8,579
5,2009,3.48,92,78,8.7,1080
5,2013,3.48,79,21,5.6,542
5,2010,3.47,88,75,8.6,869
4,2009,3.46,36,41,7,4501
4,2008,3.46,71,70,8.8,29
4,2006,3.45,83,30,8.4,28
11,2013,3.44,71,18,3,2962
5,2009,3.44,84,83,8.2,715
7,2002,3.44,79,23,8.3,126
8,1994,3.42,25,65,7,6491
13,1998,3.42,70,15,8,67
10,2015,3.41,93,86,8.2,3943
7,2004,3.41,80,50,8.9,106
3,1990,3.41,65,27,5,9984
7,2002,3.4,88,15,6.7,35
6,2011,3.39,91,86,8.4,657
13,2000,3.39,68,12,8.2,99
10,2015,3.39,76,86,6.8,1319
5,2008,3.38,76,49,7.9,75
18,2014,3.37,75,11,5.5,1735
13,1998,3.36,15,75,3,10135
12,2000,3.36,30,63,0,3503
6,2012,3.35,90,32,8.5,1041
13,1998,3.34,63,31,0,9466
4,2006,3.33,95,69,7,7394
7,2002,3.33,77,20,8.5,66
7,2002,3.33,80,76,4,1046
11,2015,3.32,94,88,5,423
7,2005,3.32,60,34,7.2,82
4,2009,3.31,87,75,7.8,228
7,2001,3.31,80,21,8.5,86
5,2013,3.3,86,35,7.9,701
7,2003,3.28,85,31,8.7,105
11,2014,3.28,52,61,1,9029
18,2015,3.28,82,74,7.5,563
7,2003,3.27,77,39,8,94
4,2008,3.26,86,62,9.2,111
17,2009,3.25,51,76,6,7861
18,2015,3.25,84,45,4.4,459
1,2008,3.25,63,43,4.6,116
13,1995,3.24,93,36,7,2839
10,2015,3.24,83,37,5.9,180
6,2013,3.23,81,81,7.7,758
18,2014,3.23,85,69,7.2,1267
13,1999,3.21,48,82,3,7735
19,2015,3.21,88,85,8.7,691
13,2000,3.2,82,97,4,1068
2,1983,3.2,41,93,5,6309
8,1995,3.2,13,76,3,10520
8,1995,3.19,40,70,9,1425
17,2008,3.18,91,79,8.6,565
7,2003,3.18,62,30,8.1,137
17,2007,3.18,83,67,8,463
5,2010,3.17,82,63,7.6,85
6,2011,3.17,89,78,7.7,1010
7,2001,3.17,89,22,9.1,95
20,2001,3.15,87,42,8.9,137
7,2007,3.14,83,12,6.5,36
4,2008,3.14,58,17,8,37
13,2000,3.13,87,19,9,107
1,2012,3.13,73,45,6.8,155
13,1998,3.12,88,13,9,10339
12,1999,3.12,85,57,4,2545
4,2005,3.12,82,43,8.5,101
2,1990,3.12,54,34,1,7837
4,2008,3.11,83,48,9,63
6,2010,3.11,82,57,7.8,492
4,2006,3.11,81,12,7.8,10
6,2007,3.1,93,45,8,604
11,2013,3.1,91,81,8.9,1057
6,2012,3.1,74,34,5.4,1304
5,2010,3.1,96,98,8.9,3143
7,2002,3.09,67,28,7.9,71
7,2001,3.08,94,23,7.9,46
2,1986,3.08,18,57,6,6937
3,1994,3.07,79,65,3,5823
15,2002,3.07,75,18,7.8,22
1,1997,3.06,74,17,7.9,22
11,2015,3.05,66,60,6.9,106
15,2014,3.05,70,74,3.9,2057
5,2012,3.05,89,59,8.2,892
4,2008,3.05,72,16,8,16
5,2008,3.04,75,42,7.4,32
5,2012,3.04,93,74,5.8,3725
6,2010,3.03,87,107,7.7,2759
13,1995,3.03,49,77,2,5073
5,2008,3.03,81,75,8.1,307
14,2002,3.02,93,46,8.5,121
2,1987,3.02,36,93,5,2273
7,2002,3.02,44,84,5,9844
10,2013,3.01,87,26,6.3,616
6,2009,3.01,91,94,8.1,1505
5,2012,3,91,39,8.6,1247
1,2010,3,73,78,7,131
5,2012,3,88,41,7.2,131
7,2007,3,73,24,9.2,173
7,2001,3,47,13,6,3191
8,1993,2.99,57,73,0,3736
15,2000,2.99,82,23,6.6,20
7,2002,2.99,93,24,9.1,65
7,2001,2.99,94,37,8.5,466
15,2011,2.96,85,73,5.9,2748
10,2014,2.96,84,85,8.1,1886
7,2003,2.96,64,29,7.8,94
7,2002,2.96,85,19,7.8,78
18,2014,2.95,86,68,6.4,2658
6,2010,2.95,88,59,8.5,572
12,1996,2.94,73,62,7,3350
7,2003,2.94,87,42,9,93
7,2005,2.94,64,111,1,8454
9,2001,2.94,79,13,7.8,4
5,2009,2.94,93,77,7.3,292
6,2009,2.93,85,98,8.3,1172
4,2008,2.92,76,40,8.8,76
18,2013,2.92,78,7,4.3,700
5,2014,2.92,79,55,4.2,85
9,2002,2.91,49,79,0,6675
5,2007,2.91,91,74,8.7,1692
7,2004,2.9,73,21,8.6,30
7,2003,2.9,93,28,9,45
5,2008,2.89,67,45,6.8,18
7,2001,2.89,85,30,8.9,16
1,2007,2.89,61,37,5.3,23
7,2004,2.89,76,49,7.7,69
1,2006,2.89,83,61,7.4,179
13,1999,2.88,39,93,2,2225
4,2007,2.87,86,7,7.7,15
